area,name,rating,total_rate
內湖區,南港傳統大腸圈,4.1,255
內湖區,The Lounge大廳酒吧-台北六福萬怡酒店,4.3,105
大安區,Boungiorno J Ristorante,4.6,187
大安區,筷子餐廳,4.2,568
大安區,Pay My Tuition Restaurant,4.4,318
大安區,ABV Bar & Kitchen 地中海餐酒館-精釀Beer餐廳,4.4,2076
大安區,Mosun 墨賞新鐵板料理餐廳,4.4,3125
大安區,Jimmy's Kitchen,4.5,3449
大安區,Second Floor Cafe Dunnan Restaurant,4.2,3218
大安區,Snail Italian Restaurant,4.6,3174
大安區,Jimmy's Garden,4.6,943
大安區,ABV Bar & Kitchen - ABV Caribbean,4.4,1529
大安區,Oregano奧瑞岡義式餐廳,4.5,1799
大安區,ABV Bar & Kitchen美式餐酒館 美式烤肉 漢堡 牛排 鄉村菜 美式餐廳,4.6,463
大安區,神樂?割烹Kagurazaka Kappou restaurant - 日本料理餐廳 創意料理 午餐晚餐推薦餐廳 居酒屋 割烹料理 壽司 生魚片 無菜單料理,4.6,351
大安區,Bel Air Bar & Grill Grand Hyatt Taipei,4.3,536
大安區,麒雲。餐酒藝術餐廳,4.3,78
大安區,Cairns Stone Grill,4.6,4456
大安區,Tuga,4.4,1024
大安區,L 'AGE aging Restaurant,4.6,384
大安區,logy,4.4,364
大安區,世貿名人坊,4.5,298
大安區,Orchid Restaurant 蘭,4.5,1168
大安區,ABV Bar & Kitchen美式餐酒館 美式烤肉 漢堡 牛排 鄉村菜 美式餐廳,4.6,463
大安區,AVENUE Fast Casual Eatery,4.3,416
大安區,Yu Cuo Tai Cai Seafood Restaurant,4.1,184
大安區,Oregano奧瑞岡義式餐廳,4.5,1799
大安區,麒雲。餐酒藝術餐廳,4.3,78
大安區,大一女美食餐廳,4.1,365
大安區,Cairns Stone Grill,4.6,4456
大安區,SEMINAR西餐廳,4.3,41
大安區,KIKI餐廳 (延吉創始店),4.1,1377
大安區,神樂?割烹Kagurazaka Kappou restaurant - 日本料理餐廳 創意料理 午餐晚餐推薦餐廳 居酒屋 割烹料理 壽司 生魚片 無菜單料理,4.6,351
大安區,Second Floor Caf?,4.1,2950
大安區,Herban Kitchen & Bar,4.2,1192
大安區,主廚之家中點教學餐廳,4.5,381
大安區,TakeOut Burger&Cafe 通化店,4.4,776
大安區,米食韓國餐廳 ?? MiShi,4.4,579
大安區,Toh-A'桌藏,4.4,866
大安區,雞窩餐廳,4.3,2479
大安區,Really Good Seafood,4.2,1094
大安區,Second Floor Cafe NTNU store,4.2,2567
大安區,Bel Air Bar & Grill Grand Hyatt Taipei,4.3,536
大安區,Jimmy's Garden,4.6,943
大安區,Tuga,4.4,1024
大安區,Japoli Italian Bistro,4.3,2211
大安區,Winona葡萄酒餐廳,4.4,535
大安區,六廚川客料理,4.3,1058
大安區,馬可波羅義大利餐廳 - Marco Polo Restaurant 香格里拉台北遠東國際大飯店,4.3,867
大安區,都一處 仁愛店,4,1924
大安區,Fiesta xinyi 派對餐廳,4,24
大安區,香宮-Shang Palace 香格里拉台北遠東國際大飯店,4.3,1479
大安區,吉品海鮮餐廳 信義店,4.2,1203
大安區,台科大第一學生餐廳,4.4,1012
大安區,Village | private kitchen ‧ small stack of wine,4.3,772
大安區,Cin Cin Osteria 請請義大利餐廳(逸仙店),4.4,1550
大安區,Qingtian 76,4.3,3035
大安區,"Out Of India, Shida Branch",4.5,2513
大安區,MINIME Kids Cafe 韓風親子餐廳 / MINIME 屋裡韓式料理&炸雞,4.3,979
大安區,Pearl Liang Grand Hyatt Taipei,4.3,608
大安區,好處 Have A Nice Day - (人氣必吃 推薦聚餐、小酌),4.1,789
大安區,L'Atelier De Patrick,4.5,416
北投區,伴爐複合式餐廳,4.4,182
北投區,吉祥小館,4.2,657
北投區,Yue Hu Oushi Restaurant,4.4,307
北投區,Snail,4.7,2360
北投區,夫妻檔客家料理‧私房,4.7,45
北投區,Cyclamen Garden Seafood Restaurant,4,1845
北投區,藍色馬克,4.5,806
北投區,打酒啦私廚料理-北投商業簡餐|必吃美食|人氣餐廳|推薦現釀生啤餐廳|在地推薦餐廳|熱門餐酒館,4.5,109
北投區,雙子星牛排西餐廳,4.2,1081
北投區,洪樓小館,4.2,726
北投區,莎諾西餐,4.4,1571
北投區,味覺義廚館,4.3,459
北投區,咱家灶腳,4.5,63
北投區,PS BUBU 金屋藏車食堂,4.3,520
北投區,TITO蒂朵義式餐廳,4.5,316
北投區,MEET FUN 秘方,4.3,268
北投區,甲蟲秘境親子餐廳,4.8,587
北投區,天母盛鑫,4.3,1265
北投區,糧田,4.7,211
北投區,Want More,4.6,461
北投區,咱家灶腳,4.5,63
北投區,PS BUBU 金屋藏車食堂,4.3,520
北投區,吉祥小館,4.2,657
北投區,VIVACE 薇瓦琪/北投餐廳/北投義大利麵/北投美食/北投restaurants/北投美食推薦/北投餐酒館,4.4,407
北投區,Duomo Japanese Reataurant,4.4,1541
北投區,天堂鳥藝文希臘餐廳,3.9,211
北投區,Saffron Fine Indian Cuisine,4.5,1153
北投區,CA rolls',4.2,462
北投區,洪樓小館,4.2,726
北投區,阿水的家 夜景餐廳,4.4,124
北投區,慕沙卡希臘餐廳 Greek Taverna Mussaka,4.5,181
北投區,胃太小私房菜,4.2,1086
北投區,Chili's Grill & Bar美式休閒餐廳-天母店,4.3,1252
北投區,阿鴻的菜,4.1,450
北投區,Lili,3.9,203
北投區,甲蟲秘境親子餐廳,4.8,587
北投區,豐吉鐵板燒,4.7,795
北投區,金山客家小館,4.2,780
北投區,Green kitchen 貳,4.1,599
北投區,明園小館,3.9,100
北投區,甲蟲秘境親子餐廳,4.8,587
北投區,天堂鳥藝文希臘餐廳,3.9,211
北投區,Crystal Spoon,4.2,382
北投區,傳承茶蝦飯 我家客家小館,4.1,722
北投區,阿水的家 夜景餐廳,4.4,124
北投區,意夢越南小吃店,4.5,267
北投區,大竹屋日式料理,4.2,451
北投區,元緣圓茶藝館,4.2,41
北投區,Marcus老倉庫,4.1,1547
北投區,禾竹家常菜,4,92
北投區,玖柱海鮮熱炒│天母美食餐廳、士林熱炒推薦,4.1,243
北投區,天鍋宴芝山店 高CP值火鍋 芝山捷運美食 人氣火鍋餐廳 台北士林天母火鍋 台北士林天母美食 美食餐廳,4.6,1650
北投區,Duomo Japanese Reataurant,4.4,1541
北投區,Miacucina,4.1,1877
北投區,鬼店山產 景觀餐廳,4.1,77
北投區,越蘭香越南美食,4.1,302
北投區,義ㄇㄞㄇㄞ義大利麵,4.2,796
北投區,Yiyuan Seafood Restaurant,4.1,127
北投區,Chili's Grill & Bar美式休閒餐廳-天母店,4.3,1252
北投區,Xing Penglai Taiwanese cuisine Seafood Restaurants,4.2,2169
士林區,崧割烹(不定期公休，請來電洽詢）,4.9,101
士林區,Modern Toilet Theme Restaurant,4.6,1266
士林區,夫妻檔客家料理‧私房,4.7,45
士林區,Bona 富光廚房,4.8,1286
士林區,Podium,4.4,70
士林區,伴爐複合式餐廳,4.4,182
士林區,Yue Hu Oushi Restaurant,4.4,307
士林區,OTIS Cafe咖哩輕食簡餐,4.5,336
士林區,藍色馬克,4.5,806
士林區,Fiesta Restaurant & Bar,4.1,737
士林區,TITO蒂朵義式餐廳,4.5,316
士林區,Want More,4.6,461
士林區,Reborn重生早午餐咖啡義大利餐廳,4.4,69
士林區,Hui Tien Vegetarianism,4.2,719
士林區,天母盛鑫,4.3,1265
士林區,Fashion Bangkok,4.4,1844
